# elemesholve analytical integrated transverse radial fields passing through endcap
# r [cm]        inner   outer   total [V]
0.00    0.0000  0.0000  0.0000
0.05    0.0335  0.0243  0.0578
0.10    0.0671  0.0486  0.1157
0.15    0.1007  0.0729  0.1735
0.20    0.1343  0.0973  0.2315
0.25    0.1679  0.1217  0.2896
0.30    0.2016  0.1461  0.3478
0.35    0.2354  0.1707  0.4061
0.40    0.2693  0.1953  0.4647
0.45    0.3033  0.2201  0.5234
0.50    0.3374  0.2449  0.5823
0.55    0.3716  0.2699  0.6416
0.60    0.4060  0.2951  0.7011
0.65    0.4405  0.3204  0.7609
0.70    0.4752  0.3459  0.8211
0.75    0.5101  0.3715  0.8816
0.80    0.5451  0.3974  0.9426
0.85    0.5804  0.4235  1.0039
0.90    0.6159  0.4499  1.0658
0.95    0.6517  0.4765  1.1281
1.00    0.6877  0.5033  1.1910
1.05    0.7240  0.5305  1.2545
1.10    0.7605  0.5580  1.3185
1.15    0.7974  0.5858  1.3832
1.20    0.8346  0.6140  1.4486
1.25    0.8722  0.6425  1.5147
1.30    0.9101  0.6715  1.5816
1.35    0.9484  0.7009  1.6493
1.40    0.9871  0.7307  1.7178
1.45    1.0263  0.7610  1.7873
1.50    1.0658  0.7918  1.8576
1.55    1.1059  0.8231  1.9290
1.60    1.1465  0.8550  2.0015
1.65    1.1875  0.8875  2.0751
1.70    1.2292  0.9207  2.1499
1.75    1.2714  0.9545  2.2259
1.80    1.3142  0.9890  2.3032
1.85    1.3577  1.0242  2.3819
1.90    1.4018  1.0603  2.4621
1.95    1.4466  1.0972  2.5438
2.00    1.4922  1.1350  2.6272
2.05    1.5386  1.1737  2.7123
2.10    1.5857  1.2134  2.7992
2.15    1.6338  1.2542  2.8880
2.20    1.6827  1.2961  2.9789
2.25    1.7327  1.3393  3.0719
2.30    1.7836  1.3837  3.1672
2.35    1.8356  1.4294  3.2650
2.40    1.8887  1.4766  3.3653
2.45    1.9430  1.5254  3.4684
2.50    1.9986  1.5758  3.5744
2.55    2.0556  1.6280  3.6835
2.60    2.1139  1.6820  3.7959
2.65    2.1737  1.7381  3.9119
2.70    2.2352  1.7963  4.0315
2.75    2.2983  1.8569  4.1553
2.80    2.3633  1.9200  4.2833
2.85    2.4302  1.9858  4.4160
2.90    2.4992  2.0545  4.5537
2.95    2.5703  2.1263  4.6966
3.00    2.6439  2.2015  4.8454
3.05    2.7199  2.2804  5.0003
3.10    2.7987  2.3632  5.1619
3.15    2.8804  2.4504  5.3307
3.20    2.9652  2.5422  5.5074
3.25    3.0534  2.6391  5.6925
3.30    3.1453  2.7415  5.8868
3.35    3.2410  2.8498  6.0909
3.40    3.3410  2.9647  6.3057
3.45    3.4455  3.0864  6.5319
3.50    3.5548  3.2157  6.7705
3.55    3.6691  3.3528  7.0220
3.60    3.7888  3.4982  7.2870
3.65    3.9139  3.6520  7.5659
3.70    4.0442  3.8139  7.8580
3.75    4.1792  3.9827  8.1619
3.80    4.3180  4.1566  8.4746
3.85    4.4582  4.3315  8.7897
3.90    4.5964  4.5007  9.0971
3.95    4.7269  4.6538  9.3807
4.00    4.8415  4.7757  9.6172
